区域,卧室数,客厅数,房屋面积,楼层高低,是否是地铁房,是否是学区房,价格（万/m2）
朝阳,5,3,252.7,低,1,0,4.95
朝阳,3,2,159.1,低,0,1,6.54
东城,2,1,73.1,中,1,1,9.37
东城,3,1,151.4,中,1,0,7.65
石景山,2,1,63.2,高,1,0,4.58
石景山,2,1,57,高,0,0,4.08
朝阳,3,2,142.5,低,1,0,4.89
丰台,3,1,96.3,中,0,0,3.47
石景山,2,2,116.2,高,1,0,5.4
西城,2,1,75.3,低,1,1,8.84
西城,3,2,131.9,低,1,1,11.35
丰台,2,1,79.4,高,1,0,5.31
东城,1,0,61.1,高,1,1,6.93
石景山,2,1,78.3,中,1,0,4.3
石景山,1,1,69.1,低,0,0,4.63
海淀,3,2,131,中,1,0,5.78
海淀,2,1,67.2,低,0,1,8.44
海淀,3,2,110.7,中,1,0,6.23
东城,2,1,60.1,高,0,0,5.78
丰台,2,1,65.2,低,1,0,5.18
西城,3,1,84.7,低,1,1,9.1
西城,2,1,70.9,高,1,0,9.95
西城,2,1,54.8,中,0,1,9.87
东城,2,1,48.9,高,1,1,7.41
丰台,1,1,66.8,低,1,0,5.27
西城,1,1,49.2,高,1,0,7.09
海淀,2,1,49.8,中,1,0,7.89
海淀,1,1,49.2,中,1,0,7.71
丰台,2,1,92.5,中,1,0,5.2
东城,2,1,56,中,1,1,9.04
海淀,2,1,59.4,低,1,1,7.63
西城,2,1,68.4,高,1,0,10.56
石景山,2,1,56.8,低,1,0,5.19
石景山,5,2,285.1,低,0,0,5.68
朝阳,2,1,52.6,低,1,0,6.06
西城,1,1,40.4,低,1,1,8.04
丰台,2,1,63.6,高,0,0,4.34
西城,4,1,132.3,低,1,0,9.08
海淀,2,1,62.4,高,1,0,6.46
丰台,2,1,83.8,高,1,0,4.3
西城,2,1,86.6,高,1,0,8.69
海淀,2,1,62.2,低,1,0,6.19
丰台,3,2,128.3,中,0,0,4.42
丰台,2,1,123.5,低,1,0,5.29
东城,1,1,77.8,中,1,0,6.06
朝阳,2,1,60.1,低,1,0,5.57
海淀,2,2,92.2,高,0,0,5.72
海淀,2,1,64.2,中,1,0,6.45
海淀,3,1,84.5,中,1,1,9.93
丰台,2,2,98.5,低,0,0,5.61
石景山,3,2,129.2,高,0,0,4.21
朝阳,2,2,109,低,1,0,5.56
海淀,1,1,39.5,低,1,0,7.4
丰台,2,1,80.4,高,1,0,5.57
石景山,3,1,65,高,1,0,3.89
海淀,3,1,102.4,高,1,1,6.53
丰台,3,1,108.4,中,1,0,3.92
西城,1,1,44.7,中,1,1,10.5
丰台,2,1,72.6,中,1,0,3.98
西城,3,2,135.3,中,0,0,7.37
西城,4,2,229.5,高,1,1,7.24
朝阳,2,1,63.9,中,1,1,5.43
石景山,1,1,40.3,高,1,0,4.1
海淀,2,1,73.4,高,1,1,8.62
朝阳,3,2,196.3,高,1,0,5.89
西城,2,1,102,中,1,0,9.23
朝阳,2,1,80.9,中,1,0,6.44
海淀,3,1,93.1,低,1,0,6.4
东城,1,1,41.9,中,1,0,8.41
西城,3,1,64.3,低,1,0,7.84
丰台,2,2,114,中,0,0,5.18
海淀,3,1,91.2,中,1,1,9.08
海淀,2,1,75,高,1,0,7.65
丰台,3,1,124.4,高,1,0,4.82
朝阳,3,1,94.9,中,1,0,4.75
石景山,1,1,73.5,中,1,0,5.43
海淀,1,1,73.7,中,1,0,7.71
东城,3,2,158.7,高,1,0,8.18
西城,3,2,224.7,低,1,0,6.14
东城,1,1,116.6,高,1,0,6.37
海淀,3,2,145.2,高,1,1,8.29
东城,2,1,64.3,高,1,0,5.82
海淀,3,1,64.5,低,1,1,11.11
丰台,2,1,139.4,低,1,1,5.35
丰台,2,1,66.2,中,1,0,5.03
东城,2,1,53.9,中,0,0,5.14
海淀,4,2,192.3,高,1,0,6.08
丰台,1,0,57.6,高,1,0,4.51
丰台,3,2,166.5,低,0,0,4.23
东城,1,1,97.9,低,1,0,8.45
西城,2,1,47.7,中,1,0,10.31
东城,2,1,90.1,中,0,0,6.51
西城,2,1,56.5,中,1,1,8.19
海淀,2,1,79.5,高,1,0,7.44
海淀,1,0,64.2,中,1,1,7.3
朝阳,1,1,64.3,低,1,0,4.47
丰台,3,1,129.9,中,1,0,4.28
东城,2,1,59.1,中,1,0,8.3
丰台,3,2,158.1,低,1,0,5.37
朝阳,2,1,56.4,高,1,0,4.95
石景山,2,1,85,中,1,0,4.24
西城,2,1,63.6,高,1,1,10.5
石景山,3,0,56.1,中,1,0,3.61
朝阳,1,1,64.2,中,1,0,6.63
丰台,2,1,70.3,高,1,0,3.97
朝阳,2,2,103.2,中,1,0,4.74
石景山,2,2,54,中,0,0,5.06
东城,1,1,113.4,低,1,0,8.08
海淀,2,2,116.4,低,1,1,6.21
丰台,2,1,81.9,高,1,0,4.71
朝阳,2,1,57.3,低,1,1,5.33
石景山,3,2,169.8,中,1,0,7.5
丰台,3,1,145.4,高,1,0,5.15
海淀,2,1,79.3,高,1,0,6.07
海淀,2,1,70.8,中,0,0,5.28
石景山,2,1,95,低,0,0,4.06
朝阳,3,2,126.1,低,0,1,6.02
朝阳,3,1,78.5,中,1,0,5.85
海淀,3,2,172.2,低,0,0,7.68
海淀,3,1,152.4,低,1,1,7.29
西城,2,1,61.8,高,1,1,9.23
丰台,2,1,78.5,高,1,0,5.37
朝阳,2,2,100.7,高,1,1,5.74
西城,2,1,97.1,低,1,0,7.3
石景山,1,1,61,高,0,0,3.84
石景山,2,1,86.3,中,0,0,3.99
东城,2,1,129.8,高,1,1,7.73
东城,1,1,61.6,中,1,0,6.4
朝阳,3,2,146.6,高,1,0,4.83
朝阳,1,1,57.2,低,1,0,5.51
丰台,3,2,158.3,低,1,0,6.36
东城,3,1,139.4,高,1,0,7.47
丰台,2,1,57.8,中,1,0,5.22
朝阳,2,2,100,高,1,0,5.04
石景山,1,1,35.6,低,0,0,4.43
东城,1,0,61,低,1,1,6.77
丰台,2,2,99.4,高,0,0,4.49
朝阳,2,1,69.5,低,1,0,5.07
朝阳,3,2,123.9,中,0,1,5.03
西城,1,1,42.9,中,1,1,9.56
丰台,2,1,88.3,中,1,0,4.51
朝阳,3,2,126,低,1,0,6.84
朝阳,3,2,237,高,1,0,6.84
朝阳,3,2,142.9,中,1,1,7.24
朝阳,1,0,60,低,1,0,6.47
西城,1,1,41.1,中,1,0,8.23
海淀,3,0,75.8,高,1,0,5.78
东城,3,1,133.6,中,0,0,6.04
西城,3,2,143.3,高,1,0,8.36
丰台,1,1,56.9,低,1,0,5.66
东城,2,1,79.4,中,1,0,6.9
丰台,3,2,91.5,低,1,0,6.52
石景山,2,2,106.6,高,1,0,6.34
朝阳,1,0,50.2,中,1,0,4.58
西城,2,1,86.3,高,1,1,10.23
石景山,2,1,103,低,1,0,5.2
西城,4,1,186.6,低,1,1,9.68
朝阳,2,2,114.5,低,1,0,5.97
石景山,1,2,60.8,高,0,0,5.83
东城,2,0,51.8,中,1,0,8.1
东城,2,1,85.2,中,1,0,7.53
东城,1,1,86.7,低,1,0,5.94
丰台,2,1,61.4,中,1,0,4.5
朝阳,4,2,170.2,低,1,0,6.36
东城,4,2,205.5,高,1,0,6.88
西城,2,2,122.3,中,0,1,9.3
丰台,3,1,97.6,中,0,0,4.28
海淀,3,1,97.6,低,1,0,6.77
石景山,4,2,163.9,高,1,0,6.2
丰台,2,1,72.8,高,1,0,4.95
海淀,2,1,82,低,1,1,6.6
西城,3,1,72,高,1,1,9
西城,3,1,89.4,中,1,1,11.01
丰台,2,2,103.8,高,1,0,5.6
丰台,2,1,71,高,1,0,4.94
朝阳,2,1,58.1,中,1,1,5.88
西城,1,1,52.2,高,1,1,8.61
丰台,3,2,119.2,低,1,0,5.71
西城,1,1,56.3,高,1,1,9.83
西城,2,1,59.5,低,1,1,9.66
